Hero_Role,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Mirana_hardsup,0.0032197824,-0.0016269244,-0.004146058,0.0019562175,-0.0042711613,-0.0003666289,-0.004048545,-0.0008010039,0.004703755,0.004823991,-0.00091876276,0.0023187287,-0.0022283047,-0.0056578605,0.0021105697,0.0035697252
Mirana_carry,2.5724932e-25,-7.6449575e-25,3.0660006e-25,3.6283588e-25,-6.578503e-24,-6.879423e-24,6.588561e-25,-2.058895e-24,-1.5321848e-24,5.4074656e-24,-3.904605e-25,-5.1002362e-24,-1.7001441e-24,1.2612271e-24,-3.8863516e-24,-1.2894651e-24
Morphling_mid,9.286523e-25,-2.6314607e-24,4.0104946e-25,2.0384466e-24,8.598943e-25,-9.236713e-25,1.754392e-24,-2.6263753e-25,-4.2356123e-24,3.680828e-25,-1.6256165e-24,-6.917606e-25,1.2101217e-24,-3.397561e-24,6.038459e-25,6.2962125e-25
Morphling_offlane,-1.7527083e-24,-4.8118302e-24,8.6386e-24,5.141029e-24,3.4844787e-26,-1.7394225e-24,3.5489073e-24,-5.6897003e-24,9.4601245e-25,-8.5296424e-26,1.5351198e-24,1.3939721e-24,5.0535865e-24,-4.56964e-24,6.001679e-25,-5.259379e-24
Morphling_softsup,3.435862e-25,3.1138663e-24,8.212407e-25,-4.9443896e-24,1.9303906e-24,6.0200273e-25,-3.9655245e-24,1.5670884e-24,1.6719088e-24,-8.6449935e-26,3.601695e-24,-6.7168484e-25,-2.836668e-25,2.271854e-25,-6.3237307e-24,3.203217e-25
Morphling_hardsup,-8.36444e-25,1.0130045e-24,1.9545745e-25,-7.364305e-25,-1.8598451e-25,-2.3635515e-25,-3.0579524e-24,1.1540576e-23,-1.283805e-25,2.5270418e-24,-2.9948118e-26,-1.3053662e-24,2.8005359e-24,1.9439158e-24,-5.209168e-25,3.701778e-25
Morphling_carry,0.0004800998,0.0010586238,-0.0024034197,0.002899156,-0.0044850702,-0.0017874796,-0.0038751527,0.0029107966,0.0037078648,0.0036931615,0.0006221808,0.0021526667,0.0024471264,-0.007054972,0.0011094097,-0.005548076
Shadow Fiend_mid,0.0011942763,5.9417012e-05,-0.002018599,-5.875116e-05,0.00018401988,0.0004299803,-0.00089047477,0.0018120715,0.0012141888,-0.0011560717,-0.0007949755,0.00027660513,-0.0018680193,-0.0003379114,-9.831719e-05,0.003513374
Shadow Fiend_offlane,1.2438396e-24,-1.6401391e-24,4.4549884e-25,5.899626e-25,-9.620802e-25,1.0155728e-23,9.236402e-24,7.496651e-25,1.5069286e-24,1.825585e-25,1.4357147e-24,-1.711438e-24,-5.1632942e-24,-1.3613057e-25,-2.2872608e-24,1.9936093e-24
Shadow Fiend_softsup,5.1830025e-25,2.211149e-24,-6.082921e-25,-1.0331024e-24,3.1045325e-24,-1.8596739e-25,8.336593e-26,7.9826146e-25,-6.0806454e-25,1.5920064e-25,-1.1859025e-25,-1.8637766e-24,2.0698464e-24,5.431967e-24,-6.413797e-25,2.0963484e-24
Shadow Fiend_hardsup,7.993932e-26,5.8987764e-26,6.004579e-24,-4.4146763e-24,1.6610921e-26,-5.507405e-24,7.5446105e-25,-2.225577e-24,-3.6585998e-25,-5.854033e-25,5.42899e-25,8.25061e-26,-6.3684394e-24,-3.0880812e-24,-3.387183e-25,3.1402053e-25
Shadow Fiend_carry,0.0017169735,-0.0021031173,-0.0015347567,0.0011195216,0.0010937547,0.0019994606,-0.00027913036,-0.00031512184,0.0020273896,-0.0016945282,-0.0012170043,0.0019704401,-0.0038984257,-0.00039583351,0.00044238876,0.004004079
Phantom Lancer_mid,-9.27234e-25,2.1774872e-24,6.819319e-25,-2.4251077e-24,5.9495357e-24,-1.5946498e-24,1.1431648e-24,2.2874383e-24,-1.6942732e-23,-7.059066e-24,2.6271577e-24,-7.8314393e-25,2.0661941e-24,2.8410735e-24,4.373969e-24,4.488402e-24
Phantom Lancer_offlane,-1.2096327e-24,-8.646089e-25,-9.510735e-24,1.0176986e-25,-7.878858e-25,-4.557207e-25,1.8471454e-25,-7.034371e-26,1.7316108e-25,2.1399945e-24,6.1649894e-25,1.6480381e-24,2.2539959e-24,5.436951e-24,-1.1017874e-24,3.4998082e-24
Phantom Lancer_softsup,-1.6227753e-24,-3.3056388e-25,-1.4879255e-25,4.158557e-24,3.387328e-24,-7.558483e-26,8.1127353e-25,4.0459931e-25,-3.2000956e-25,3.1156702e-25,-2.9675222e-25,-2.181201e-25,5.7811395e-25,-2.4251517e-25,9.442892e-26,1.6949714e-24
Phantom Lancer_hardsup,3.7363845e-24,6.5471866e-25,-1.095507e-24,-5.6448623e-25,-2.0647414e-25,2.202999e-25,1.5602294e-24,1.284772e-24,3.6597525e-26,-2.8024783e-24,7.046841e-25,-5.811759e-25,4.1349387e-25,6.7224064e-25,3.7674786e-24,1.6455204e-24
Phantom Lancer_carry,-0.002344882,-0.006261592,-0.008724397,0.00587768,-0.006327539,0.0031323181,0.0012433515,0.005447928,0.011693671,0.004625287,-0.01562334,-0.007023088,-0.0053929016,-0.008339449,0.0073858495,0.0025309506
Puck_mid,0.0017801542,0.003405558,-0.008193291,-0.004902355,-0.003226858,-0.004099683,-0.0035521742,0.003924119,0.00578487,0.008982147,0.006607374,0.008748496,0.0040063625,-0.004816822,-0.0029443759,0.0099681895
Puck_offlane,-1.5346601e-24,4.1635976e-24,-6.246439e-24,-8.595608e-25,-1.0441683e-24,-3.7409626e-24,1.3278844e-25,-5.081566e-25,-1.0979169e-25,4.3936764e-24,4.1618783e-24,2.561573e-25,2.5976347e-24,3.7392685e-24,-2.163313e-26,-1.5902627e-24
Puck_softsup,3.5321247e-24,-2.685572e-24,-7.272289e-24,-2.5258944e-24,1.6192585e-25,-5.0716262e-24,-4.6362073e-24,3.3606707e-25,1.67012e-24,4.037114e-24,-8.254994e-25,1.2504939e-25,5.100352e-24,-4.6585384e-24,2.5900583e-24,-3.3074458e-25
Puck_hardsup,2.502538e-25,2.0352301e-25,5.1129148e-24,2.9074242e-24,9.870626e-24,-8.9791915e-25,7.303595e-25,2.302226e-25,5.783299e-25,-9.106827e-26,-7.874327e-25,1.9599064e-24,2.9355832e-25,-1.0803789e-24,-2.4507498e-24,-5.0790834e-25
Puck_carry,1.6175043e-24,1.9530068e-24,1.6687883e-24,-9.690803e-25,1.4382296e-24,-1.8303606e-24,-3.9575325e-24,-1.4265139e-24,-1.1068496e-24,-1.0750592e-24,-2.812536e-24,-1.0660261e-24,-7.1897414e-25,-4.770601e-24,-7.5078737e-25,9.745711e-25
Pudge_mid,-1.0733596e-25,4.429108e-25,1.4455818e-23,-1.6553054e-25,-3.084927e-26,-4.776469e-26,-2.5312965e-24,3.263657e-24,1.8492842e-24,-2.282335e-24,-4.852181e-25,-1.22574186e-23,-8.612909e-25,4.6042427e-24,-1.6642224e-24,3.63494e-24
Pudge_offlane,2.8039702e-24,2.3715758e-24,-2.6998715e-25,1.492302e-24,3.0126042e-24,-1.2523931e-26,1.7409478e-24,7.133831e-25,3.8870825e-24,-1.03375686e-25,-6.32471e-25,4.2797696e-25,6.5692964e-25,5.8135033e-24,-1.4530702e-24,1.2171895e-24
